epoch,train_loss,train_acc,test_loss,test_acc
1,1.4635496114373512,47.19,1.1370225089370825,58.78
2,1.0583880084859745,62.318,0.9044762155052962,67.6
3,0.8744785265849374,69.274,0.7642552883002409,72.88
4,0.7774098322672003,72.708,0.6710613218082744,76.89
5,0.7111163368005582,75.042,0.6393181622787646,78.11
6,0.6567814969803061,77.202,0.5658762153166874,80.54
7,0.6153789967908274,78.588,0.5762138740651926,80.32
8,0.5844158924677793,79.77,0.5437869835811057,81.28
9,0.5601255230586547,80.458,0.5626208417734523,80.25
10,0.5317444504831758,81.602,0.5110188160732294,82.53
11,0.505025543043833,82.308,0.5331483823098954,82.01
12,0.4824938263239153,83.43,0.4912558261566101,83.06
13,0.46440671887391666,83.83,0.44031568801706766,84.79
14,0.4494552418894475,84.3,0.46427748328561236,84.01
15,0.4347790849140233,84.922,0.4362865852512372,84.99
16,0.4208706122110872,85.296,0.47207041511869735,83.89
17,0.4089977899018456,85.746,0.4246846856015503,85.28
18,0.39462642451686325,86.444,0.42249222080798665,85.75
19,0.38126957325069494,86.782,0.4171917394847627,86.04
20,0.3691339677728503,87.044,0.4177362834382209,85.53
21,0.3571033710447114,87.638,0.38788351198290566,86.69
22,0.34602162847890877,87.912,0.3946171286664191,86.49
23,0.3402306093546131,88.102,0.3851889147879971,86.59
24,0.3330573177875003,88.364,0.3894542144362334,86.9
25,0.32273067894589413,88.79,0.3795671438335613,87.0
26,0.31435750948879726,89.072,0.4146332242971013,86.5
27,0.30681328555507126,89.22,0.38556407211692467,87.31
28,0.301354744769347,89.43,0.3726612961595985,87.83
29,0.293102067745174,89.63,0.3891008731665885,87.28
30,0.28847324295574445,89.982,0.3861364695676573,87.55
31,0.28038707389817824,90.216,0.3789525762390179,87.58
32,0.2763490230321427,90.166,0.37886043780358736,87.0
33,0.26781026816086084,90.44,0.3842120838772719,87.13
34,0.26169296439803774,90.814,0.38357402896805176,87.46
35,0.26141572504511573,90.708,0.37131991726198016,88.23
36,0.2545720894423211,91.008,0.3642405052283767,88.01
37,0.24515811713588664,91.332,0.37078143096273875,88.19
38,0.2396605828505419,91.456,0.3702584507453973,87.94
39,0.23393132543319936,91.814,0.3430945455648337,88.72
40,0.2337850391712335,91.812,0.36119981105350385,88.43
41,0.2284154815461172,91.858,0.3607757149893007,88.65
42,0.22252782172692553,92.17,0.35818682107955785,88.71
43,0.22024063082397594,92.202,0.37787587219362806,88.16
44,0.21499751971753508,92.432,0.3757028067662458,88.31
45,0.21124614891417495,92.518,0.3605613533858281,88.62
46,0.20679537752819488,92.666,0.371301325310947,88.52
47,0.20400665642793678,92.794,0.38113701663863886,87.98
48,0.20314901393106985,92.76,0.3693619692093058,88.53
49,0.19452669300958322,92.986,0.37638572978365953,88.27
50,0.19308643114021826,93.008,0.3422010916338605,89.12
